iter	Passed	Remaining
465	748	857
466	749	855
467	751	854
468	752	852
469	754	850
470	755	848
471	756	846
472	758	844
473	759	842
474	761	841
475	762	839
476	763	837
477	764	835
478	766	833
479	767	831
480	768	829
481	769	827
482	771	825
483	772	823
484	773	821
485	775	819
486	776	817
487	777	815
488	778	813
489	780	812
490	781	810
491	782	808
492	783	806
493	785	804
494	786	802
495	787	800
496	788	798
497	790	796
498	791	794
499	792	792
500	794	790
501	795	788
502	796	787
503	797	785
504	799	783
505	800	781
506	801	779
507	802	777
508	804	775
509	805	773
510	806	771
511	808	770
512	809	768
513	810	766
514	811	764
515	813	762
516	814	760
517	815	759
518	817	757
519	818	755
520	819	753
521	820	751
522	822	749
523	823	747
524	824	746
525	825	744
526	827	742
527	828	740
528	829	738
529	831	737
530	832	735
531	833	733
532	835	731
533	836	730
534	837	728
535	839	726
536	840	724
537	841	722
538	842	720
539	844	719
540	845	717
541	846	715
542	848	713
543	849	712
544	850	710
545	851	708
546	853	706
547	855	705
548	856	703
549	857	701
550	858	699
551	860	698
552	861	696
553	862	694
554	863	692
555	865	690
556	866	689
557	867	687
558	868	685
559	870	683
560	871	681
561	872	680
562	873	678
563	875	676
564	876	674
565	877	673
566	879	671
567	880	669
568	881	667
569	882	665
570	884	664
571	885	662
572	886	660
573	887	658
574	889	657
575	890	655
576	891	653
577	893	652
578	894	650
579	895	648
580	896	646
581	898	645
582	899	643
583	900	641
584	902	639
585	903	638
586	904	636
587	905	634
588	907	632
589	908	631
590	909	629
591	910	627
592	912	625
593	913	624
594	914	622
595	915	620
596	916	618
597	918	617
598	919	615
599	920	613
600	922	612
601	923	610
602	924	608
603	925	606
604	927	605
605	928	603
606	929	601
607	930	600
608	932	598
609	933	596
610	934	595
611	935	593
612	937	591
613	938	590
614	939	588
615	941	586
616	942	584
617	943	583
618	944	581
619	945	579
620	947	578
621	948	576
622	949	574
623	950	572
624	952	571
625	953	569
626	954	567
627	955	566
628	956	564
629	958	562
630	959	561
631	960	559
632	962	557
633	963	556
634	964	554
635	965	552
636	967	551
637	968	549
638	969	547
639	970	546
640	972	544
641	973	542
642	975	541
643	976	539
644	977	538
645	979	536
646	980	534
647	981	533
648	982	531
649	984	529
650	985	528
651	986	526
652	987	524
653	989	523
654	990	521
655	991	519
656	992	518
657	994	516
658	995	515
659	996	513
660	997	511
661	999	510
662	1000	508
663	1001	506
664	1002	505
665	1004	503
666	1005	502
667	1006	500
668	1008	498
669	1009	497
670	1010	495
671	1011	493
672	1013	492
673	1014	490
674	1015	489
675	1016	487
676	1018	485
677	1019	484
678	1020	482
679	1021	480
680	1023	479
681	1024	477
682	1025	475
683	1026	474
684	1028	472
685	1029	471
686	1030	469
687	1031	467
688	1032	466
689	1034	464
690	1035	463
691	1036	461
692	1037	459
693	1039	458
694	1040	456
695	1041	454
696	1042	453
697	1044	451
698	1045	450
699	1046	448
700	1047	447
701	1049	445
702	1050	443
703	1051	442
704	1053	440
705	1054	439
706	1055	437
707	1056	435
708	1058	434
709	1059	432
710	1060	431
711	1061	429
712	1063	427
713	1064	426
714	1065	424
715	1066	423
716	1068	421
717	1069	420
718	1070	418
719	1072	416
720	1073	415
721	1074	413
722	1075	412
723	1077	410
724	1078	409
725	1079	407
726	1080	405
727	1081	404
728	1083	402
729	1084	401
730	1085	399
731	1087	398
732	1088	396
733	1089	394
734	1090	393
735	1092	391
736	1093	390
737	1094	388
738	1096	387
739	1097	385
740	1098	383
741	1099	382
742	1101	380
743	1102	379
744	1103	377
745	1104	376
746	1106	374
747	1107	373
748	1108	371
749	1110	370
750	1111	368
751	1112	366
752	1114	365
753	1115	363
754	1116	362
755	1118	360
756	1119	359
757	1120	357
758	1122	356
759	1123	354
760	1124	353
761	1125	351
762	1127	350
763	1128	348
764	1129	347
765	1130	345
766	1132	343
767	1133	342
768	1134	340
769	1135	339
770	1137	337
771	1138	336
772	1139	334
773	1140	333
774	1142	331
775	1143	330
776	1144	328
777	1145	326
778	1147	325
779	1148	323
780	1149	322
781	1150	320
782	1152	319
783	1153	317
784	1154	316
785	1155	314
786	1157	313
787	1158	311
788	1159	310
789	1160	308
790	1162	307
791	1163	305
792	1164	304
793	1166	302
794	1167	300
795	1168	299
796	1169	297
797	1171	296
798	1172	294
799	1173	293
800	1174	291
801	1176	290
802	1177	288
803	1178	287
804	1179	285
805	1181	284
806	1182	282
807	1183	281
808	1184	279
809	1186	278
810	1187	276
811	1188	275
812	1189	273
813	1191	272
814	1192	270
815	1193	269
816	1194	267
817	1196	266
818	1197	264
819	1199	263
820	1200	261
821	1201	260
822	1202	258
