iter	RMSE
0	10.08251186
1	9.557738503
2	9.056917183
3	8.600438414
4	8.144815992
5	7.716118457
6	7.318689674
7	6.94737609
8	6.61732259
9	6.277372212
10	5.956231148
11	5.665259268
12	5.392373539
13	5.128780032
14	4.879520609
15	4.637799496
16	4.40355455
17	4.175655218
18	3.960338477
19	3.757903904
20	3.576386034
21	3.395679628
22	3.22473137
23	3.067856833
24	2.913399227
25	2.767967306
26	2.638936763
27	2.51575041
28	2.398362575
29	2.285611202
30	2.179523739
31	2.076507026
32	1.983061511
33	1.890064539
34	1.804527822
35	1.723502882
36	1.645092633
37	1.570953705
38	1.503137258
39	1.439646405
40	1.379423095
41	1.324861784
42	1.270847301
43	1.220826208
44	1.174772602
45	1.131764635
46	1.092432519
47	1.053743433
48	1.020310041
49	0.9846994419
50	0.9487305399
51	0.9135463254
52	0.8875451312
53	0.8557771359
54	0.8318226468
55	0.8050330903
56	0.7821774196
57	0.7598251928
58	0.7351148757
59	0.717010126
60	0.6956761689
61	0.6771521666
62	0.6620767814
63	0.6476352148
64	0.6327366133
65	0.6159496356
66	0.6003003979
67	0.5844082597
68	0.5668953788
69	0.5511712929
70	0.5415620528
71	0.5294326237
72	0.5185823471
73	0.5074909813
74	0.4977129702
75	0.4908939397
76	0.4823294436
77	0.4734612424
78	0.4673052558
79	0.4621926444
80	0.4566981563
81	0.4494663418
82	0.4428677629
83	0.4361680602
84	0.4310551214
85	0.4226613037
86	0.4133631466
87	0.4051142935
88	0.3987779298
89	0.3934182959
90	0.3907729057
91	0.3848442026
92	0.3822431609
93	0.3734668737
94	0.3708252106
95	0.3641366926
96	0.3599994412
97	0.3549069299
98	0.3503686196
99	0.3461166836
100	0.3446690179
101	0.3405170067
102	0.3361649369
103	0.3349700783
104	0.3335988517
105	0.3303972617
106	0.3271720913
107	0.3224028042
108	0.3202122889
109	0.3147335745
110	0.3122516089
111	0.3118938483
112	0.3071982348
113	0.3042093844
114	0.3013638312
115	0.299349048
116	0.2985805964
117	0.2977955209
118	0.2957447568
119	0.2925734767
120	0.292196688
121	0.2916786189
122	0.2883819044
123	0.2850160473
124	0.2819303069
125	0.2817002396
126	0.2814235967
127	0.2796207419
128	0.277670681
129	0.2767789677
130	0.2766011806
131	0.2751979
132	0.272598342
133	0.2704091266
134	0.2675096472
135	0.2667057218
136	0.2665610885
137	0.2663917718
138	0.2662607213
139	0.2625799826
140	0.2617523967
141	0.2571793366
142	0.2551127106
143	0.2544241591
144	0.2515677033
145	0.2493037693
146	0.248984062
147	0.2480405014
148	0.247531616
149	0.2464436058
150	0.2463273332
151	0.2452295901
152	0.2441251749
153	0.2426369107
154	0.2424996338
155	0.2411471172
156	0.239678748
157	0.237464025
158	0.2373627808
159	0.236659027
160	0.2330522207
161	0.2323240852
162	0.2303834344
163	0.229744396
164	0.2277792822
165	0.2272280438
166	0.2246536941
167	0.2230210498
168	0.2220563885
169	0.2211974537
170	0.2211067658
171	0.2191600982
172	0.2177225959
173	0.2162884885
174	0.2160358339
175	0.2159281124
176	0.2158733117
177	0.2145956377
178	0.2139660716
179	0.213234671
180	0.2131764467
181	0.2118882367
182	0.2112175386
183	0.2101428378
184	0.209974217
185	0.2090869408
186	0.2088651878
187	0.2088085886
188	0.2068725893
189	0.2064485277
190	0.2058148071
191	0.2052928725
192	0.2042764189
193	0.2042279644
194	0.2032577434
195	0.2027854669
196	0.2021182043
197	0.2020697855
198	0.2020371918
199	0.2010815983
200	0.2010455869
201	0.2009464886
202	0.2004819889
203	0.2000840372
204	0.1990666522
205	0.1976898392
206	0.1967670577
207	0.1957847501
208	0.1940671253
209	0.1937004544
210	0.1933186702
211	0.192480604
212	0.1917333815
213	0.1911587682
214	0.1903112832
215	0.1884246
216	0.1873498167
217	0.1869718048
218	0.1861217271
219	0.1852781955
220	0.1846114885
221	0.1835375138
222	0.1829366079
223	0.1824370555
224	0.1819975961
225	0.1813797332
226	0.1804282915
227	0.1801136591
228	0.1795833824
229	0.1791363759
230	0.1784344698
231	0.1780196175
232	0.1775532114
233	0.1756719451
234	0.1749161888
235	0.1739840403
236	0.172685758
237	0.1720784224
238	0.1713034799
239	0.1700376446
240	0.1688290051
241	0.1685777091
242	0.1679300345
243	0.1672178494
244	0.1665197644
245	0.1658888512
246	0.1653481176
247	0.1646769747
248	0.1642429973
249	0.1636157975
250	0.1633955178
251	0.1629033325
252	0.1620873669
253	0.1614585258
254	0.1609409438
255	0.1604453044
256	0.1597675813
257	0.1594346883
258	0.1580382573
259	0.1575008824
260	0.1569671795
261	0.1563409416
262	0.1556660409
263	0.1544176915
264	0.1539139692
265	0.1529530689
266	0.1521635575
267	0.1517920983
268	0.1510783663
269	0.1504990923
270	0.1500174268
271	0.1493965376
272	0.1488399968
273	0.1480147079
274	0.1472840409
275	0.1467866149
276	0.1464133518
277	0.1456168371
278	0.1452532148
279	0.1450906674
280	0.1447695807
281	0.1438700094
282	0.143059351
283	0.1425911929
284	0.1421514722
285	0.1418365556
286	0.1411187214
287	0.1407716988
288	0.1405223242
289	0.1401986828
290	0.1398326364
291	0.1392486564
292	0.1389762223
293	0.138339783
294	0.1379254771
295	0.1375806624
296	0.1371239471
297	0.1367291197
298	0.1364549049
299	0.1361211398
300	0.1358208176
301	0.1353537666
302	0.1347276569
303	0.1340799796
304	0.133780825
305	0.13344484
306	0.1330637166
307	0.1328492475
308	0.1322789275
309	0.131726656
310	0.1315237244
311	0.1309634909
312	0.1306302348
313	0.1303206536
314	0.1300678834
315	0.1298345049
316	0.129478355
317	0.1292899128
318	0.1289702224
319	0.1283790596
320	0.1281091688
321	0.1278171059
322	0.1276372145
323	0.127138299
324	0.1268567884
325	0.1265971514
326	0.1262426987
327	0.1260050677
328	0.1258889985
